genome,bad_class_bp,bad_class_n,bad_family_bp,bad_family_n,bad_genus_bp,bad_genus_n,bad_order_bp,bad_order_n,bad_phylum_bp,bad_phylum_n,bad_superkingdom_bp,bad_superkingdom_n,comment,f_ident,f_major,filter_at,good_class_bp,good_class_n,good_family_bp,good_family_n,good_genus_bp,good_genus_n,good_order_bp,good_order_n,good_phylum_bp,good_phylum_n,good_superkingdom_bp,good_superkingdom_n,ignored_contigs_bp,ignored_contigs_n,lineage,noident_contigs_bp,noident_contigs_n,total_bad_bp,total_contigs_bp,total_contigs_n
TARA_ANW_MAG_00083.fa,405339,50,405339,50,405339,50,405339,50,405339,50,405339,50,,0.9400630914826499,0.15343659244917715,genus,0,0,0,0,0,0,0,0,0,0,0,0,50938,18,d__Eukaryota,1628836,391,405339,2134347,471
TARA_ION_MAG_00073.fa,393667,52,393667,52,393667,52,393667,52,393667,52,393667,52,,0.9298245614035088,0.08469539375928678,genus,0,0,0,0,0,0,0,0,0,0,0,0,138272,47,d__Eukaryota,3426877,933,393667,4042279,1050
TARA_PON_MAG_00067.fa,385558,51,385558,51,385558,51,385558,51,385558,51,0,0,,0.4263456090651558,0.20392836510687465,genus,251791,45,251791,45,251791,45,251791,45,251791,45,637349,96,43961,14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__UBA2165;g__GCA-2725625,2639050,390,385558,3430711,532
TARA_RED_MAG_00116.fa,378038,10,378038,10,378038,10,378038,10,378038,10,378038,10,,0.5096153846153846,0.051181102362204724,genus,0,0,0,0,0,0,0,0,0,0,0,0,4294,1,d__Eukaryota,1656930,94,378038,2042466,106
TARA_ION_MAG_00027.fa,0,0,339812,31,371783,38,0,0,0,0,0,0,,0.7884393063583816,0.8054003724394786,genus,1855017,146,1515205,115,1483234,108,1855017,146,1855017,146,1855017,146,9757,3,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__S15-B10;g__UBA2125,157838,24,371783,2170694,209
TARA_PSW_MAG_00133.fa,356872,47,356872,47,356872,47,356872,47,356872,47,356872,47,,0.9585987261146497,0.07828471702817252,genus,0,0,0,0,0,0,0,0,0,0,0,0,131623,46,d__Eukaryota,3478135,961,356872,4053059,1074
TARA_ANE_MAG_00097.fa,352460,49,352460,49,352460,49,352460,49,352460,49,352460,49,,0.9424920127795527,0.15113471752776436,genus,0,0,0,0,0,0,0,0,0,0,0,0,46055,17,d__Eukaryota,1684420,418,352460,2132135,496
TARA_IOS_MAG_00075.fa,346066,44,346066,44,346066,44,346066,44,346066,44,346066,44,,0.9267515923566879,0.10487641950567803,genus,0,0,0,0,0,0,0,0,0,0,0,0,53642,16,d__Eukaryota,2500937,617,346066,2967592,692
TARA_PSE_MAG_00147.fa,338178,45,338178,45,338178,45,338178,45,338178,45,338178,45,,0.948051948051948,0.11518324607329843,genus,0,0,0,0,0,0,0,0,0,0,0,0,64177,22,d__Eukaryota,2271089,616,338178,2737533,700
TARA_ANE_MAG_00069.fa,318380,26,318380,26,318380,26,318380,26,318380,26,0,0,,0.8933333333333333,0.7313505607020966,genus,1313256,132,1313256,132,1313256,132,1313256,132,1313256,132,1631636,158,23258,6,d__Bacteria;p__Margulisbacteria;c__ZB3;o__UBA817;f__GCA-002719695;g__GCA-002719695,297079,38,318380,2090499,236
TARA_PSW_MAG_00136.fa,276625,10,276625,10,276625,10,276625,10,276625,10,276625,10,,0.7945205479452054,0.006147368421052631,genus,0,0,0,0,0,0,0,0,0,0,0,0,15989,5,d__Eukaryota,11561288,572,276625,11885609,592
TARA_ION_MAG_00072.fa,239730,13,239730,13,239730,13,239730,13,239730,13,239730,13,,0.84375,0.00941522618609783,genus,0,0,0,0,0,0,0,0,0,0,0,0,52088,16,d__Eukaryota,13375996,1196,239730,13667814,1225
TARA_PON_MAG_00064.fa,208539,42,208539,42,208539,42,208539,42,208539,42,22420,2,,0.7342026078234705,0.4529759200363471,genus,753880,105,753880,105,753880,105,753880,105,753880,105,939999,145,24401,8,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SCGCAAA288-L16,857286,201,208539,2165453,439
TARA_RED_MAG_00103.fa,0,0,25059,2,195135,11,25059,2,0,0,0,0,,0.8792431830829159,0.6095658073270014,genus,2188525,263,2138760,259,1902132,249,2138760,259,2188525,263,2188525,263,19254,6,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A,208983,44,195135,2983347,440
TARA_RED_MAG_00118.fa,193043,7,193043,7,193043,7,193043,7,193043,7,193043,7,,1.0,0.002994310809462022,genus,0,0,0,0,0,0,0,0,0,0,0,0,12399,3,d__Eukaryota,9896569,479,193043,10110290,490
TARA_PSE_MAG_00015.fa,54108,2,186981,9,186981,9,186981,9,0,0,0,0,,0.9583238958097395,0.8301993230537796,genus,4376123,291,4243250,284,4243250,284,4243250,284,4455141,295,4455141,295,9774,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7803,570528,59,186981,5166000,380
TARA_PSE_MAG_00103.fa,23670,3,23670,3,178388,21,23670,3,23670,3,0,0,,0.6939313984168866,0.22776442307692307,genus,657131,77,654308,76,478175,57,654308,76,657131,77,728329,83,24404,8,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius,1033409,208,178388,3242486,563
TARA_ASE_MAG_00031.fa,22114,3,97729,7,160845,16,81644,6,22114,3,0,0,,0.9019607843137255,0.5356164383561643,genus,973851,187,898236,183,835120,174,914321,184,973851,187,995965,190,61960,20,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,526897,88,160845,2195948,459
TARA_PON_MAG_00085.fa,0,0,148994,13,148994,13,146381,12,0,0,0,0,,0.9015056461731493,0.7619502868068834,genus,1649488,72,1495502,58,1495502,58,1503107,60,1649488,72,1649488,72,7934,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145,346947,63,148994,2057475,148
TARA_PSE_MAG_00110.fa,0,0,145711,19,145711,19,145711,19,0,0,0,0,,0.8939393939393939,0.6826516220028209,genus,1317101,201,1171390,182,1171390,182,1171390,182,1317101,201,1317101,201,45225,14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleispira,408981,85,145711,2124994,392
TARA_PSE_MAG_00140.fa,142048,13,142048,13,142048,13,142048,13,142048,13,142048,13,,0.8470588235294118,0.006706643522171375,genus,0,0,0,0,0,0,0,0,0,0,0,0,88686,27,d__Eukaryota,12368558,1707,142048,12657102,1758
TARA_RED_MAG_00063.fa,133527,27,133527,27,133527,27,133527,27,120264,25,0,0,,0.9176276771004942,0.8733812949640288,genus,2297340,258,2297340,258,2297340,258,2297340,258,2335997,261,2456261,286,17455,5,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA2965,94304,27,133527,2808044,382
TARA_PSW_MAG_00065.fa,0,0,0,0,127592,13,0,0,0,0,0,0,,0.938742611499194,0.6022653721682848,genus,2397458,242,2397458,242,2265498,228,2397458,242,2397458,242,2397458,242,20251,6,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda_A,228853,46,127592,3071969,378
TARA_PON_MAG_00054.fa,126959,7,126959,7,126959,7,126959,7,126959,7,0,0,,0.9491379310344827,0.6720741599073001,genus,1076372,10,1076372,10,1076372,10,1076372,10,1076372,10,1203331,17,0,0,d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__UBA7883,281850,53,126959,1645789,82
TARA_ANE_MAG_00009.fa,18307,1,57288,3,122328,5,24133,2,0,0,0,0,,0.9020446980504042,0.40590619571511294,genus,4510552,216,4406531,212,4359710,211,4504726,215,4528859,217,4528859,217,6496,2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella,139772,27,122328,5226535,317
TARA_ION_MAG_00032.fa,0,0,18112,1,115372,6,0,0,0,0,0,0,,0.9681778552746295,0.6276333789329686,genus,3313601,170,3224051,167,3126791,162,3313601,170,3313601,170,3313601,170,8519,2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter,123831,18,115372,3679393,231
TARA_ANE_MAG_00093.fa,114983,17,114983,17,114983,17,114983,17,114983,17,114983,17,,0.8536585365853658,0.008627946127946129,genus,0,0,0,0,0,0,0,0,0,0,0,0,123378,38,d__Eukaryota,9301919,1824,114983,9555746,1883
TARA_RED_MAG_00072.fa,0,0,0,0,108096,12,0,0,0,0,0,0,,0.9285714285714286,0.8707317073170732,genus,1491932,173,1491932,173,1383836,161,1491932,173,1491932,173,1491932,173,10001,3,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1,18424,5,108096,1635506,211
TARA_PON_MAG_00075.fa,14206,1,14206,1,102996,10,14206,1,14206,1,0,0,,0.9797155514105852,0.8409803921568627,genus,4219499,452,4219499,452,4130709,443,4219499,452,4219499,452,4233705,453,25381,8,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__UBA8231,653624,118,102996,5204906,657
