genome,bad_class_bp,bad_class_n,bad_family_bp,bad_family_n,bad_genus_bp,bad_genus_n,bad_order_bp,bad_order_n,bad_phylum_bp,bad_phylum_n,bad_superkingdom_bp,bad_superkingdom_n,comment,f_ident,f_major,filter_at,good_class_bp,good_class_n,good_family_bp,good_family_n,good_genus_bp,good_genus_n,good_order_bp,good_order_n,good_phylum_bp,good_phylum_n,good_superkingdom_bp,good_superkingdom_n,ignored_contigs_bp,ignored_contigs_n,lineage,noident_contigs_bp,noident_contigs_n,total_bad_bp,total_contigs_bp,total_contigs_n
GCF_001184205.1_genomic.fna.gz,15103,15,15103,15,2814728,18,15103,15,15103,15,0,0,,0.7070063694267515,0.06196960726268009,genus,2280805,2,2280805,2,0,0,2280805,2,2280805,2,2814728,18,117958,147,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo,306137,39,2814728,5114044,334
GCF_000492175.1_genomic.fna.gz,12670,1,142711,2,626473,4,12670,1,12670,1,12670,1,,0.3274021352313167,0.08318531675547661,genus,1834133,7,1278128,5,57567,1,1278128,5,1834133,7,1834133,7,7966,3,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,48498,7,626473,3704572,22
GCA_003222275.1_genomic.fna.gz,470642,79,478379,81,478379,81,478379,81,452132,77,0,0,,0.840064620355412,0.09234671042816649,genus,26455,3,18718,1,18718,1,18718,1,44965,5,497097,82,33843,29,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__AA32,4466047,392,478379,6756227,628
GCA_003222535.1_genomic.fna.gz,249415,9,288741,12,464285,16,257101,11,249415,9,0,0,,0.4581673306772908,0.03174803946369846,genus,68676,4,60990,2,23056,1,60990,2,68676,4,649548,20,14561,11,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA45,4753641,331,464285,8058377,450
GCF_001672295.1_genomic.fna.gz,464072,8,464072,8,464072,8,464072,8,464072,8,0,0,,0.7232876712328767,0.10381114903299203,genus,286034,4,286034,4,286034,4,286034,4,286034,4,3219184,35,9459,7,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio,58224,5,464072,3614588,59
GCA_003220225.1_genomic.fna.gz,162726,11,162726,11,333918,19,162726,11,162726,11,0,0,,0.45503116651825465,0.18586560741476332,genus,3049327,42,3049327,42,2959575,39,3049327,42,3049327,42,5078762,89,269,1,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR12,189674,25,333918,6031064,167
GCF_001683825.1_genomic.fna.gz,199964,13,199964,13,199964,13,199964,13,199964,13,0,0,,0.9800796812749004,0.06136919315403423,genus,0,0,0,0,0,0,0,0,0,0,199964,13,6800,11,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__CP2B,3367957,58,199964,4116634,93
GCA_003221985.1_genomic.fna.gz,110621,20,110621,20,125783,21,110621,20,110621,20,0,0,,0.47440273037542663,0.09935571380128858,genus,422348,18,422348,18,407186,17,422348,18,422348,18,532969,38,10395,4,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__20CM-2-65-7,1436582,161,125783,3031493,289
GCF_001408335.1_genomic.fna.gz,15548,1,40257,4,40257,4,35710,3,15548,1,0,0,,0.7369165487977369,0.24728926197971318,genus,1761030,68,1602094,62,1602094,62,1630458,64,1761030,68,2027162,77,19948,17,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria,175198,36,40257,2999584,199
GCF_900016235.2_genomic.fna.gz,10497,10,12049,11,12049,11,10497,10,10497,10,0,0,,0.9512463343108505,0.7603121516164995,genus,3381434,48,3379882,47,3379882,47,3381434,48,3381434,48,3391931,58,65741,72,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,80044,26,12049,3629624,241
