genome,filter_at,override_filter_at,total_bad_bp,superkingdom_bad_bp,phylum_bad_bp,class_bad_bp,order_bad_bp,family_bad_bp,genus_bad_bp,f_ident,f_major,lineage,comment
TARA_ANW_MAG_00083.fa,genus,,405339,405339,405339,405339,405339,405339,405339,0.94,0.153,d__Eukaryota,
TARA_ION_MAG_00073.fa,genus,,393667,393667,393667,393667,393667,393667,393667,0.93,0.0847,d__Eukaryota,
TARA_PON_MAG_00067.fa,genus,,385558,0,385558,385558,385558,385558,385558,0.426,0.204,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__UBA2165;g__GCA-2725625,
TARA_RED_MAG_00116.fa,genus,,378038,378038,378038,378038,378038,378038,378038,0.51,0.0512,d__Eukaryota,
TARA_ION_MAG_00027.fa,genus,,371783,0,0,0,0,339812,371783,0.788,0.805,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__S15-B10;g__UBA2125,
TARA_PSW_MAG_00133.fa,genus,,356872,356872,356872,356872,356872,356872,356872,0.959,0.0783,d__Eukaryota,
TARA_ANE_MAG_00097.fa,genus,,352460,352460,352460,352460,352460,352460,352460,0.942,0.151,d__Eukaryota,
TARA_IOS_MAG_00075.fa,genus,,346066,346066,346066,346066,346066,346066,346066,0.927,0.105,d__Eukaryota,
TARA_PSE_MAG_00147.fa,genus,,338178,338178,338178,338178,338178,338178,338178,0.948,0.115,d__Eukaryota,
TARA_ANE_MAG_00069.fa,genus,,318380,0,318380,318380,318380,318380,318380,0.893,0.731,d__Bacteria;p__Margulisbacteria;c__ZB3;o__UBA817;f__GCA-002719695;g__GCA-002719695,
TARA_PSW_MAG_00136.fa,genus,,276625,276625,276625,276625,276625,276625,276625,0.795,0.00615,d__Eukaryota,
TARA_ION_MAG_00072.fa,genus,,239730,239730,239730,239730,239730,239730,239730,0.844,0.00942,d__Eukaryota,
TARA_PON_MAG_00064.fa,genus,,208539,22420,208539,208539,208539,208539,208539,0.734,0.453,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SCGCAAA288-L16,
TARA_RED_MAG_00103.fa,genus,,195135,0,0,0,25059,25059,195135,0.879,0.61,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A,
TARA_RED_MAG_00118.fa,genus,,193043,193043,193043,193043,193043,193043,193043,1.0,0.00299,d__Eukaryota,
TARA_PSE_MAG_00015.fa,genus,,186981,0,0,54108,186981,186981,186981,0.958,0.83,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7803,
TARA_PSE_MAG_00103.fa,genus,,178388,0,23670,23670,23670,23670,178388,0.694,0.228,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius,
TARA_ASE_MAG_00031.fa,genus,,160845,0,22114,22114,81644,97729,160845,0.902,0.536,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,
TARA_PON_MAG_00085.fa,genus,,148994,0,0,0,146381,148994,148994,0.902,0.762,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145,
TARA_PSE_MAG_00110.fa,genus,,145711,0,0,0,145711,145711,145711,0.894,0.683,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleispira,
TARA_PSE_MAG_00140.fa,genus,,142048,142048,142048,142048,142048,142048,142048,0.847,0.00671,d__Eukaryota,
TARA_RED_MAG_00063.fa,genus,,133527,0,120264,133527,133527,133527,133527,0.918,0.873,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA2965,
TARA_PSW_MAG_00065.fa,genus,,127592,0,0,0,0,0,127592,0.939,0.602,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda_A,
TARA_PON_MAG_00054.fa,genus,,126959,0,126959,126959,126959,126959,126959,0.949,0.672,d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__UBA7883;g__UBA7883,
TARA_ANE_MAG_00009.fa,genus,,122328,0,0,18307,24133,57288,122328,0.902,0.406,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella,
TARA_ION_MAG_00032.fa,genus,,115372,0,0,0,0,18112,115372,0.968,0.628,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter,
TARA_ANE_MAG_00093.fa,genus,,114983,114983,114983,114983,114983,114983,114983,0.854,0.00863,d__Eukaryota,
TARA_RED_MAG_00072.fa,genus,,108096,0,0,0,0,0,108096,0.929,0.871,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1,
TARA_PON_MAG_00075.fa,genus,,102996,0,14206,14206,14206,14206,102996,0.98,0.841,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__UBA8231,
TARA_RED_MAG_00115.fa,genus,,89090,2927,89090,89090,89090,89090,89090,0.896,0.294,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA11883,
TARA_ANE_MAG_00088.fa,genus,,88039,88039,88039,88039,88039,88039,88039,0.829,0.0126,d__Eukaryota,
TARA_PSW_MAG_00013.fa,genus,,82295,0,82295,82295,82295,82295,82295,0.982,0.629,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio,
TARA_IOS_MAG_00014.fa,genus,,81606,0,81606,81606,81606,81606,81606,0.963,0.904,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA5691,
TARA_RED_MAG_00114.fa,genus,,81159,81159,81159,81159,81159,81159,81159,0.816,0.00963,d__Eukaryota,
TARA_ANW_MAG_00068.fa,genus,,78403,2618,78403,78403,78403,78403,78403,0.961,0.781,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C,
TARA_ASE_MAG_00006.fa,genus,,78245,0,16192,16192,25908,49078,78245,0.938,0.554,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D,
TARA_SOC_MAG_00001.fa,genus,,77738,0,14065,14065,14065,14065,77738,0.982,0.791,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA2638,
