genome,filter_at,override_filter_at,total_bad_bp,superkingdom_bad_bp,phylum_bad_bp,class_bad_bp,order_bad_bp,family_bad_bp,genus_bad_bp,f_ident,f_major,lineage,comment
GCF_001184205.1_genomic.fna.gz,genus,,2814728,0,15103,15103,15103,15103,2814728,0.707,0.062,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo,
GCF_000492175.1_genomic.fna.gz,genus,,626473,12670,12670,12670,12670,142711,626473,0.327,0.0832,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,
GCA_003222275.1_genomic.fna.gz,genus,,478379,0,452132,470642,478379,478379,478379,0.84,0.0923,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__AA32,
GCA_003222535.1_genomic.fna.gz,genus,,464285,0,249415,249415,257101,288741,464285,0.458,0.0317,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA45,
GCF_001672295.1_genomic.fna.gz,genus,,464072,0,464072,464072,464072,464072,464072,0.723,0.104,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio,
GCA_003220225.1_genomic.fna.gz,genus,,333918,0,162726,162726,162726,162726,333918,0.455,0.186,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR12,
GCF_001683825.1_genomic.fna.gz,genus,,199964,0,199964,199964,199964,199964,199964,0.98,0.0614,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__CP2B,
GCA_003221985.1_genomic.fna.gz,genus,,125783,0,110621,110621,110621,110621,125783,0.474,0.0994,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__20CM-2-65-7,
GCF_001408335.1_genomic.fna.gz,genus,,40257,0,15548,15548,35710,40257,40257,0.737,0.247,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria,
GCF_900016235.2_genomic.fna.gz,genus,,12049,0,10497,10497,10497,12049,12049,0.951,0.76,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,
GCF_001749745.1_genomic.fna.gz,genus,,7603,0,7603,7603,7603,7603,7603,0.971,0.0546,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Marispirochaetaceae;g__Marispirochaeta,
GCA_001421185.1_genomic.fna.gz,genus,,6977,6977,6977,6977,6977,6977,6977,0.638,0.102,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008,
GCF_000763125.1_genomic.fna.gz,genus,,3551,0,3551,3551,3551,3551,3551,0.645,0.252,d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium,
GCF_001078575.1_genomic.fna.gz,genus,,2805,0,0,0,2805,2805,2805,0.862,0.397,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia,
GCF_002901805.1_genomic.fna.gz,genus,,2706,0,0,0,2706,2706,2706,0.81,0.153,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,
GCF_002154655.1_genomic.fna.gz,genus,,227,0,227,227,227,227,227,0.874,0.243,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,
GCF_000181835.1_genomic.fna.gz,genus,,0,0,0,0,0,0,0,0.993,0.609,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,
GCF_001874625.1_genomic.fna.gz,genus,,0,0,0,0,0,0,0,0.567,0.154,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia,
